pID,PT
sub-001,19
sub-002,17
sub-003,21
sub-004,20
sub-005,20
sub-006,19
sub-007,17
sub-008,16
sub-009,18
sub-010,21
sub-011,16
sub-012,21
sub-013,19
sub-014,19
sub-015,20
sub-016,21
sub-017,22
sub-018,13
sub-019,20
sub-020,12
sub-022,19
sub-023,19
sub-024,20
sub-025,19
sub-026,27
sub-027,14
sub-029,18
sub-030,23
sub-031,21
sub-032,19
sub-033,13
sub-034,19
sub-035,21
sub-036,11
sub-037,19
sub-038,18
sub-039,15
sub-040,21
sub-041,14
sub-042,19
sub-043,11
sub-044,18
sub-045,13
sub-046,26
sub-047,20
sub-049,22
sub-051,23
sub-052,22
sub-053,25
sub-054,21
sub-055,20
sub-056,20
sub-057,21
sub-058,20
sub-059,17
sub-060,17
sub-061,19
sub-062,26
sub-063,17
sub-064,7
sub-065,18
sub-066,19
sub-067,16
sub-068,17
sub-069,15
sub-070,10
sub-071,12
sub-072,19
sub-073,14
sub-074,19
sub-075,19
sub-076,23
sub-077,19
sub-078,12
sub-079,12
sub-080,21
sub-081,17
sub-082,21
sub-083,15
sub-084,18
sub-085,20
sub-086,21
sub-087,17
sub-088,14
sub-089,22
sub-090,15
sub-091,20
sub-092,21
sub-093,27
sub-094,22
sub-095,20
